STATUS,MW,LogP,nHAcc,nHDon,canonical_smiles,standard_value,SMILES_desalt,pIC50,molecule_chembl_id
Active,547.7040000000002,4.206400000000002,8,4,O=C(Nc1ccc(Nc2ncnc3cc(OCCCN4CCN(CCO)CC4)ccc23)cc1)NC1CCCCC1,436.0,O=C(Nc1ccc(Nc2ncnc3cc(OCCCN4CCN(CCO)CC4)ccc23)cc1)NC1CCCCC1,6.360513510731414,CHEMBL3706686
Active,532.6890000000002,5.300800000000005,7,4,O=C(Nc1ccc(Nc2ncnc3cc(OCCCN4CCC(CO)CC4)ccc23)cc1)NC1CCCCC1,796.0,O=C(Nc1ccc(Nc2ncnc3cc(OCCCN4CCC(CO)CC4)ccc23)cc1)NC1CCCCC1,6.099086932262331,CHEMBL3706687
Active,468.5130000000001,5.424500000000004,6,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cccc(Oc2nc3ccccc3[nH]2)c1,17.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cccc(Oc2nc3ccccc3[nH]2)c1,7.769551078621726,CHEMBL3393497
Intermediate,485.5690000000001,5.1784000000000034,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccnc(Sc2nc3ccccc3[nH]2)c1,5200.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccnc(Sc2nc3ccccc3[nH]2)c1,5.2839966563652006,CHEMBL3393496
Active,485.5690000000001,5.178400000000004,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cccc(Sc2nc3ccccc3[nH]2)n1,31.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cccc(Sc2nc3ccccc3[nH]2)n1,7.508638306165727,CHEMBL3393495
Active,484.5810000000001,5.783400000000005,6,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cccc(Sc2nc3ccccc3[nH]2)c1,70.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cccc(Sc2nc3ccccc3[nH]2)c1,7.154901959985743,CHEMBL3393494
Active,490.61000000000007,5.8449000000000035,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cc(Sc2nc3ccccc3[nH]2)cs1,11.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cc(Sc2nc3ccccc3[nH]2)cs1,7.958607314841775,CHEMBL3393065
Inactive,491.59800000000007,5.239900000000003,8,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cnc(Sc2nc3ccccc3[nH]2)s1,10000.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1cnc(Sc2nc3ccccc3[nH]2)s1,5.0,CHEMBL3393493
Intermediate,490.61000000000007,5.8449000000000035,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)s1,2300.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3ccccc3[nH]2)s1,5.638272163982407,CHEMBL3393492
Active,565.6550000000002,5.708300000000005,8,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CN(Cc3ccccc3)C1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,11.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CN(Cc3ccccc3)C1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,7.958607314841775,CHEMBL3393491
Active,575.6470000000003,5.4432000000000045,9,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CN(C(=O)OC(C)(C)C)C1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,6.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CN(C(=O)OC(C)(C)C)C1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,8.221848749616356,CHEMBL3393490
Active,502.5960000000002,6.012500000000005,7,3,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CC(C)(C)C1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,17.0,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CC(C)(C)C1)C2c1ccc(Sc2nc3ccccc3[nH]2)o1,7.769551078621726,CHEMBL3393489
